City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Cayenne,GF,4.9333,-52.3333,79.09,1,75,3.44,broken clouds
284,Kautokeino,NO,69.0125,23.0412,27.82,94,64,7.78,broken clouds
285,Masallatah,LY,32.6167,14.0,74.35,34,79,24.0,broken clouds
286,Camana,PE,-16.6228,-72.7111,69.26,80,10,7.83,clear sky
287,Yulara,AU,-25.2406,130.9889,42.64,65,10,8.05,clear sky
288,Pemba,MZ,-12.974,40.5178,77.7,83,75,5.75,broken clouds
289,Port Blair,IN,11.6667,92.75,82.54,76,99,6.55,overcast clouds
290,Ritchie,ZA,-29.038,24.6028,51.01,33,0,5.39,clear sky
291,Oranjemund,NA,-28.55,16.4333,57.47,88,0,0.67,clear sky
292,Puerto Escondido,MX,15.85,-97.0667,86.83,62,0,9.22,clear sky
293,Qom,IR,34.6401,50.8764,67.1,53,46,4.34,scattered clouds
294,Olympia,US,47.0379,-122.9007,52.83,93,100,11.5,moderate rain
295,San Patricio,US,28.017,-97.5169,89.69,59,76,17.0,broken clouds
296,Bowen,AU,-20.0167,148.2333,73.36,87,4,4.68,clear sky
297,Muros,ES,42.7762,-9.0603,59.09,77,6,10.04,clear sky
298,Gamba,GA,-2.65,10.0,78.15,93,88,5.1,overcast clouds
299,Sandwick,GB,60.0,-1.25,49.82,100,100,14.97,moderate rain
300,Soyo,AO,-6.1349,12.3689,78.49,86,93,7.63,overcast clouds
301,Tezu,IN,27.9167,96.1667,69.13,78,6,4.27,clear sky
302,Palmer,US,42.1584,-72.3287,69.66,28,75,3.0,broken clouds
303,Yinchuan,CN,38.4681,106.2731,57.38,28,85,14.58,overcast clouds
304,Lagunas,PE,-5.2269,-75.6753,75.87,78,97,2.08,overcast clouds
305,Mana,GF,5.6592,-53.7767,78.31,87,95,7.4,overcast clouds
306,Iracoubo,GF,5.4802,-53.2011,78.66,87,98,8.57,overcast clouds
307,Bacalar,MX,18.6667,-88.3833,87.91,66,40,17.27,scattered clouds
308,Mujiayingzi,CN,42.1167,118.7833,46.06,41,76,12.8,broken clouds
309,Bolec,RS,44.7247,20.6033,61.52,65,60,5.75,light rain
310,Athabasca,CA,54.7169,-113.2854,68.41,45,100,11.9,overcast clouds
311,Cabedelo,BR,-6.9811,-34.8339,77.67,80,99,12.59,overcast clouds
312,Loukhi,RU,66.0764,33.0381,34.12,98,100,8.63,snow
313,Pangody,RU,65.85,74.4859,5.94,96,9,5.06,clear sky
314,Charyshskoye,RU,51.3978,83.5598,47.21,68,23,4.14,few clouds
315,Port Hueneme,US,34.1478,-119.1951,84.06,71,75,9.22,broken clouds
316,Krasnoarmeysk,RU,51.0239,45.6969,39.97,58,98,11.34,overcast clouds
317,Vilyuysk,RU,63.7553,121.6247,29.52,91,100,4.05,overcast clouds
318,San Andres,CO,12.5847,-81.7006,84.22,79,100,8.05,overcast clouds
319,Concordia,AR,-31.393,-58.0209,63.79,84,93,4.07,overcast clouds
320,Khatanga,RU,71.9667,102.5,23.65,84,55,15.75,broken clouds
321,Sitka,US,57.0531,-135.33,44.49,76,100,5.75,moderate rain
322,Kaeo,NZ,-35.1,173.7833,64.33,89,65,8.37,broken clouds
323,Rabo De Peixe,PT,37.8,-25.5833,66.27,70,40,14.97,scattered clouds
324,Alugan,PH,12.2188,125.4808,80.69,83,99,7.94,overcast clouds
325,Windsor,CA,42.3001,-83.0165,61.14,78,20,9.22,few clouds
326,Silawit,PH,16.8789,121.7564,75.18,85,17,3.06,few clouds
327,Hay River,CA,60.8156,-115.7999,49.98,40,75,11.5,broken clouds
328,Nikolskoye,RU,59.7035,30.7861,46.29,64,96,6.6,overcast clouds
329,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,66,40,13.8,scattered clouds
330,Broken Hill,AU,-31.95,141.4333,42.51,87,1,3.44,clear sky
331,Norman Wells,CA,65.282,-126.8329,39.24,60,75,16.11,broken clouds
332,Kavaratti,IN,10.5669,72.642,84.7,73,100,12.28,overcast clouds
333,Aksu,CN,41.1231,80.2644,73.29,23,94,5.32,overcast clouds
334,Umm Kaddadah,SD,13.6017,26.6876,88.11,14,44,21.79,scattered clouds
335,Kulevcha,UA,46.0303,29.9361,49.05,59,5,8.41,clear sky
336,Buzovna,AZ,40.5179,50.1139,59.09,63,0,18.41,clear sky
337,Wheeling,US,42.1392,-87.929,55.0,87,100,9.22,light rain
338,Kathmandu,NP,27.7167,85.3167,66.42,88,75,2.3,broken clouds
339,Chupa,RU,66.27,33.0549,34.83,98,100,8.61,snow
340,Atherton,GB,53.5237,-2.4935,56.75,84,57,1.43,broken clouds
341,Conde,BR,-7.2597,-34.9075,76.46,94,75,2.3,broken clouds
342,Quatre Cocos,MU,-20.2078,57.7625,76.08,82,45,21.34,light rain
343,Kalengwa,ZM,-13.4659,25.0027,59.63,75,19,5.12,few clouds
344,Wembley,AU,-31.9333,115.8,56.08,59,0,13.8,clear sky
345,Manawar,IN,22.2333,75.0833,88.14,28,0,13.91,clear sky
