City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
414,414,Tual,ID,-5.6667,132.75,84.92,71,77,15.3,broken clouds
415,415,Eldorado,BR,-23.7869,-54.2836,66.07,77,89,2.86,overcast clouds
416,416,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.02,97,52,1.66,broken clouds
417,417,Christchurch,NZ,-43.5333,172.6333,59.0,81,7,4.61,clear sky
418,418,Byron Bay,AU,-28.65,153.6167,69.94,88,100,8.68,overcast clouds
420,420,Muscatine,US,41.4667,-91.1335,57.38,75,100,8.05,overcast clouds
423,423,Melendugno,IT,40.2747,18.3368,55.49,100,0,4.61,clear sky
426,426,Mangrol,IN,21.1167,70.1167,80.47,79,0,10.94,clear sky
427,427,Sioux Lookout,CA,50.1001,-91.917,62.67,34,20,3.44,few clouds
428,428,Alofi,NU,-19.0595,-169.9187,82.29,69,40,10.36,scattered clouds
429,429,Caravelas,BR,-17.7125,-39.2481,79.54,82,0,12.53,clear sky
432,432,Benicarlo,ES,40.4165,0.4271,65.25,63,2,9.22,clear sky
433,433,Karachi,PK,24.9056,67.0822,80.42,78,0,5.75,smoke
434,434,Tevaitoa,PF,-16.7833,-151.5,81.54,72,79,8.52,broken clouds
437,437,Acari,PE,-15.4311,-74.6158,69.93,82,20,5.35,few clouds
439,439,Huai Thalaeng,TH,14.997,102.6475,84.27,79,100,5.19,overcast clouds
440,440,Richards Bay,ZA,-28.783,32.0377,65.43,94,1,7.14,clear sky
442,442,Mwene-Ditu,CD,-7.0,23.45,66.02,85,83,3.49,broken clouds
443,443,Triunfo,BR,-29.9433,-51.7181,59.77,77,73,3.24,broken clouds
447,447,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.8,82,100,9.22,overcast clouds
448,448,Orcopampa,PE,-15.2661,-72.3417,50.92,60,26,3.06,scattered clouds
450,450,Narasannapeta,IN,18.4167,84.05,80.64,90,56,4.9,broken clouds
451,451,Bela,IN,25.9333,81.9833,83.48,44,0,6.24,clear sky
453,453,Nerja,ES,36.7585,-3.8873,60.94,70,1,5.99,clear sky
455,455,Meulaboh,ID,4.1363,96.1285,76.08,95,100,6.24,heavy intensity rain
